Country ;Announced Prefix;Description ;Valid ROA ;Parent Prefix ;RIR
United States (US) Flag ;2001:4860::/32 ;Google LLC ;;2001:4860::/32 ;ARIN
United States (US) Flag ;2001:4860:4864::/48 ;Google LLC ;;2001:4860::/32 ;ARIN
Australia (AU) Flag ;2404:6800::/32 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4001::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4002::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4003::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4004::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4005::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4006::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4007::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4008::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:4009::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:400a::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Australia (AU) Flag ;2404:6800:480e::/48 ;Google IPv6 address block in AP ;;2404:6800::/32 ;APNIC
Singapore (SG) Flag ;2404:f340::/32 ;Google Asia Pacific Pte. Ltd. ;;2404:f340::/32 ;APNIC
United States (US) Flag ;2600:1900::/28 ;Google LLC ;;2600:1900::/28 ;ARIN
United States (US) Flag ;2607:f8b0::/32 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4000::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4001::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4002::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4003::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4004::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4005::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4006::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4007::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4008::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4009::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400a::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400b::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400c::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400d::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400e::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:400f::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4010::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4011::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4012::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4013::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4014::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4015::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:4016::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:480e::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2607:f8b0:480f::/48 ;Google LLC ;;2607:f8b0::/32 ;ARIN
United States (US) Flag ;2620:33:c000::/48 ;Nest Labs, Inc. ;;2620:33:c000::/48 ;ARIN
United States (US) Flag ;2620:120:e000::/40 ;YouTube, LLC ;;2620:120:e000::/40 ;ARIN
Argentina (AR) Flag ;2800:3f0::/32 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Argentina (AR) Flag ;2800:3f0:4001::/48 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Argentina (AR) Flag ;2800:3f0:4002::/48 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Argentina (AR) Flag ;2800:3f0:4003::/48 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Argentina (AR) Flag ;2800:3f0:4004::/48 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Argentina (AR) Flag ;2800:3f0:4005::/48 ;Google Argentina SRL ;;2800:3f0::/32 ;Lacnic
Ireland (IE) Flag ;2a00:1450::/32 ;Google Ireland Limited ;;2a00:1448::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4001::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4002::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4003::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4004::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4005::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4006::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4007::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4008::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4009::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400a::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400b::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400c::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400d::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400e::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:400f::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4010::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4011::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4012::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4013::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4014::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
Ireland (IE) Flag ;2a00:1450:4015::/48 ;EU metro frontend ;;2a00:1450::/29 ;RIPE
