Country ;Announced Prefix;Description ;Valid ROA ;Parent Prefix ;RIR
European Union (EU) Flag ;2001:2000::/20 ;Telia Company AB ;;2001:2000::/20 ;RIPE
Sweden (SE) Flag ;2001:2030:c004::/47 ;TeliaSonera AB ;;2001:2000::/20 ;RIPE
Hong Kong (HK) Flag ;2407:1600::/32 ;Telia AB Routernet/Internet ;;2407:1600::/32 ;APNIC
United States (US) Flag ;2604:980:a000::/36 ;Zenlayer Inc ;;2604:980::/32 ;ARIN
United States (US) Flag ;2604:980:b000::/36 ;Zenlayer Inc ;;2604:980::/32 ;ARIN
United States (US) Flag ;2604:a880::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:1::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:2::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:3::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:4::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:400::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2604:a880:800::/48 ;DigitalOcean, LLC ;;2604:a880::/32 ;ARIN
United States (US) Flag ;2605:380:32::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:40::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:53::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:55::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:56::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:57::/48 ;Anexia ;;2605:380::/32 ;ARIN
United States (US) Flag ;2605:380:58::/48 ;Anexia ;;2605:380::/32 ;ARIN
Panama (PA) Flag ;2803:ad80::/48 ;ANEXIA SOUTH AMERICA SOCIEDAD ANONIMA ;;2803:ad80::/32 ;Lacnic
Austria (AT) Flag ;2a00:11c0:2::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:4::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:7::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:8::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:9::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:15::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
Austria (AT) Flag ;2a00:11c0:16::/48 ;ANEXIA Internetdienstleistungs GmbH ;;2a00:11c0::/32 ;RIPE
