Country ;Announced Prefix;Description ;Valid ROA ;Parent Prefix ;RIR
United States (US) Flag ;2001:450:2015::/48 ;Level 3 Parent, LLC ;;2001:450::/32 ;ARIN
Argentina (AR) Flag ;2001:13b2::/31 ;IMPSAT FIBER NETWORKS INC ;;2001:13b0::/29 ;Lacnic
Argentina (AR) Flag ;2001:13b4::/32 ;IMPSAT FIBER NETWORKS INC ;;2001:13b0::/29 ;Lacnic
Argentina (AR) Flag ;2001:13b4:4001::/48 ;IMPSAT FIBER NETWORKS INC ;;2001:13b0::/29 ;Lacnic
Argentina (AR) Flag ;2001:13b4:4002::/48 ;IMPSAT FIBER NETWORKS INC ;;2001:13b0::/29 ;Lacnic
United States (US) Flag ;2001:1900::/32 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:201e::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:220e::/48 ;Beyond Hosting, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2210::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2219::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:222b::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:222e::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2230::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2235::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2245::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2259::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:225a::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2260::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2267::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2271::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2275::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2282::/48 ;WESTNET LINK LLC ;;2001:1900::/32 ;ARIN
United States (US) Flag ;2001:1900:2287::/48 ;Level 3 Parent, LLC ;;2001:1900::/32 ;ARIN
